Administración responsable del Registro;Alta en RGFP;Arqueo GT;CFR;Capacidad del buque no aportable por:;Censo por modalidad;Código;Eslora total;Estado;IMO;IRCS;Imagen;Material del casco;Matrícula;Nombre;Potencia;Puerto base;Tipo de auxiliar
Secretaría General de Pesca;10/05/1989;0,86;ESP000014088;;ARTES MENORES EN EL MEDITERRANEO;14088;5,94 m;Alta Definitiva (desde el 30/11/2018);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/7263;Poliester;3MH-1-493;MAR Y VIDA;20,59 kW (28,0 CV);72200 - San Antonio Abad, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;0,82;ESP000020241;;ARTES MENORES EN EL MEDITERRANEO;20241;4,80 m;Baja Definitiva (desde el 10/06/2002);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/8553;Madera;3MH-1-287;MARI GRACIA;4,41 kW (6,0 CV);73210 - Fornells, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;1,66;ESP000001933;;ARTES MENORES EN EL MEDITERRANEO;1933;0,00 m;Baja Definitiva (desde el 10/12/1999);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/1375;Madera;3MH-1-349;MARIA;7,35 kW (10,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;0,48;ESP000020243;;ARTES MENORES EN EL MEDITERRANEO;20243;4,45 m;Baja Definitiva (desde el 13/12/2000);-;-;;Madera;3MH-1-455;MARIA ANITA;2,21 kW (3,0 CV);73210 - Fornells, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;2,50;ESP000008272;;ARTES MENORES EN EL MEDITERRANEO;8272;8,74 m;Baja Definitiva (desde el 04/07/2023);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/5341;Madera;3MH-1-431;MARIA AUXILIADORA;33,10 kW (45,0 CV);73210 - Fornells, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;1,05;ESP000008282;;ARTES MENORES EN EL MEDITERRANEO;8282;5,98 m;Baja Definitiva (desde el 30/01/2002);-;-;;Poliester;3MH-1-487;MARIA DEL MAR DOS;19,86 kW (27,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;1,28;ESP000015794;;ARTES MENORES EN EL MEDITERRANEO;15794;6,82 m;Baja Definitiva (desde el 28/06/2001);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/8147;Madera;3MH-1-424;MARIA DEL PILAR;28,68 kW (39,0 CV);73100 - Ciudadela, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;1,84;ESP000001939;;ARTES MENORES EN EL MEDITERRANEO;1939;7,44 m;Alta Definitiva (desde el 10/05/1989);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/1379;Poliester;3MH-1-492;MARIA II;29,41 kW (40,0 CV);73200 - Mahón, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;0,86;ESP000021053;;ARTES MENORES EN EL MEDITERRANEO;21053;5,94 m;Alta Definitiva (desde el 15/11/2024);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/9071;Poliester;3MH-1-497;MARNI UN;14,71 kW (20,0 CV);73210 - Fornells, ILLES BALEARS;
Secretaría General de Pesca;10/05/1989;1,45;ESP000001936;;ARTES MENORES EN EL MEDITERRANEO;1936;0,00 m;Baja Definitiva (desde el 12/12/1996);-;-;https://servicio.pesca.mapama.es/CENSO/ConsultaBuqueRegistro/Buques/Image/1377;Poliester;3MH-1-471;MARQUES DE MONISTROL;29,42 kW (40,0 CV);73200 - Mahón, ILLES BALEARS;
