country_code_iso2;region;locode;port_name;latitude;longitude;facade;fao_areas;is_active;coordinates;source
DE;;DETHA;Thale;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLSOE;Soest;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEGGH;Gengenbach;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
SE;;SEBOT;Sturkö, Skällö;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEBEB;Bebra;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLBIW;Broek In Waterland;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DESHR;Straubenhardt;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEHDN;Heiden/Borken;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEWND;Wadern;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEKAA;Kaarst;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLBGS;Burgsluis;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLLEU;Leusden;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEWGE;Wernigerode;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DETUM;Türkheim;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEOER;Oer-Erkenschwick;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLLEM;Lemsterland;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEGHN;Gersthofen;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLDED;Dedemsvaart;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DELUW;Lüchow;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLWTW;Winterswijk;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEWFK;Wildflecken;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
SK;;SKSSA;Slovenské Nové Mesto;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
SE;;SEHDR;Hönö-Röd;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
SE;;SESJX;Sjolsö;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEKEZ;Kellmünz;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEHVR;Halver;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
SE;;SESKU;Skurup;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLHOZ;Hooge Zwaluwe;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEMNH;Mainhausen;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLHVS;Hilversum;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLBAF;Baflo;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
IE;;IETHO;Thomastown;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEBRM;Bramsche;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
SE;;SENYB;Nyby;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEBHF;Bad Honnef;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLMON;Monster;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEVAL;Valwig;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEDIS;Dissen;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
IE;;IEMAP;Marino Point;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
SE;;SETIB;Tibro;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
IT;;ITXXX;Ris Inland Waterways;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
HR;;HRKPN;Krapanj;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
SE;;SEENE;Enebyberg;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEHSH;Hausach;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEBOC;Bockhorst;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
IE;;IELIF;Lifford;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEMNB;Mainburg;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
HR;;HRSTD;Seget Donji;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DENOD;Norden;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEAAR;Aarbergen;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
SE;;SEVAJ;Väja;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
SK;;SKLEN;Lenartovce;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEACH;Achern;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEDRS;Dresden;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DENEM;Neckarsulm;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
SK;;SKCAD;Cadca;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEESS;Essen;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEWBH;Waldenbuch;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLANT;Andelst;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DERAG;Radeberg;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
SI;;SI999;Slovenia - Unknown;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
PL;;PLKR2;Kąty Rybackie Ii;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLHAE;Haelen;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
IT;;ITPSA;Pisa;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
BG;;BGKAT;Katunitza;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEWMI;Wald-Michelbach;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
FI;;FIFOR;Förby;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
CZ;;CZMIL;Milevsko;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
CZ;;CZSML;Semily;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEBAU;Bautzen;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLKAP;Kapellebrug;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
IE;;IEROS;Rosslare Harbour;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
SK;;SKPOV;Presov;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEMAY;Mayen;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
DE;;DEHAS;Hassfurt;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLWIK;Wijk;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLOOT;Ootmarsum;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
NL;;NLZWE;Zwaagwesteinde;;;;{};False;;https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db
