sources;port_name;coordinates;locode;country_region;fao_areas
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agger Havn;56.778,8.2547,0.000001;DKAGH;DK;{27.4.b}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aggersund;57.0031,9.2846,0.000001;DKASH;DK;{27.4.b}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Aghada;51.844,-8.209,0.000001;IEAGA;IE;{27.7.g}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agia Anna Naxou;37.053,25.362,0.000001;GRAAN;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agia Efimia;38.3,20.6,0.000001;GRAEF;GR;{37.2.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agia Galini;35.0833333333333,24.6833333333333,0.000001;GRPIL;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agia Galini Rethymnou;35.09,24.692,0.000001;GRAGN;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agia Kyriaki Kefalonias;38.18,20.28,0.000001;GRAKY;GR;{37.2.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agia Kyriaki Trikeron;39.085,23.066,0.000001;GRTRK;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agia Marina (Leros);37.167,26.856,0.000001;GRAMR;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agia Marina Fthiotidas;38.9,22.58333333,0.000001;GRAGM;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agia Marina Grammatikou Attikis;38.18333333,24.06666667,0.000001;GRGMA;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agia Marina, Leros;39.167,22.889,0.000001;GRAML;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agia Pelagia Kefalonias;0.0,0.0,0.000001;GRPEL;GR;{34.3.4}},{{34.4.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agia Pelagia Kythiron;22.983,36.333,0.000001;GRAPE;GR;{51.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agio Theodoroi;37.91666667,23.11666667,0.000001;GRAGT;GR;{37.2.2}},{{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agioi Theodoroi Korinthou;0.0,0.0,0.000001;GRTDR;GR;{34.3.4}},{{34.4.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agiokampos;39.729,22.894,0.000001;GRAGI;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agiokampos Oreon;38.9333333333333,23.0333333333333,0.000001;GRAOR;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agios Efstratios;39.532,24.974,0.000001;GRAGE;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agios Georgios Lichadas;0.0,0.0,0.000001;GRGLI;GR;{34.3.4}},{{34.4.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agios Ioannis Domvrainas;38.12,22.57,0.000001;GRDOM;GR;{37.2.2}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agios Ioannis Rentis;37.95,23.66666667,0.000001;GRGRA;GR;{37.3.1}
https://www.data.gouv.fr/api/1/datasets/r/60fe965d-5888-493b-9321-24bc3b1f84db;Agios Ioannis, Piliou;39.404,23.184,0.000001;GRAIM;GR;{37.3.1}
