PUERTO BASE;AÑO;NUM_BARCOS
Cala Ratjada;2022;16
Cala Ratjada;2023;15
Cala Ratjada;2024;15
Cala Ratjada;2025;15
Calafell;2006;15
Calafell;2007;16
Calafell;2008;15
Calafell;2009;16
Calafell;2010;14
Calafell;2011;13
Calafell;2012;11
Calafell;2013;11
Calafell;2014;8
Calafell;2015;8
Calafell;2016;6
Calafell;2017;6
Calafell;2018;4
Calafell;2019;5
Calafell;2020;4
Calafell;2021;3
Calafell;2022;3
Calafell;2023;3
Calafell;2024;3
Calafell;2025;3
Calella de la Costa;2006;8
Calella de la Costa;2007;8
Calella de la Costa;2008;5
Calella de la Costa;2009;5
Calella de la Costa;2010;5
Calella de la Costa;2011;5
Calella de la Costa;2012;4
Calella de la Costa;2013;4
Calella de la Costa;2014;4
Calella de la Costa;2015;4
Calella de la Costa;2016;4
Calella de la Costa;2017;4
Calella de la Costa;2018;4
Calella de la Costa;2019;4
Calella de la Costa;2020;1
Caleta del Sebo, La Graciosa;2006;44
Caleta del Sebo, La Graciosa;2007;29
Caleta del Sebo, La Graciosa;2008;29
Caleta del Sebo, La Graciosa;2009;33
Caleta del Sebo, La Graciosa;2010;39
Caleta del Sebo, La Graciosa;2011;36
Caleta del Sebo, La Graciosa;2012;35
Caleta del Sebo, La Graciosa;2013;37
Caleta del Sebo, La Graciosa;2014;39
Caleta del Sebo, La Graciosa;2015;39
Caleta del Sebo, La Graciosa;2016;39
Caleta del Sebo, La Graciosa;2017;38
Caleta del Sebo, La Graciosa;2018;40
Caleta del Sebo, La Graciosa;2019;41
Caleta del Sebo, La Graciosa;2020;42
Caleta del Sebo, La Graciosa;2021;43
Caleta del Sebo, La Graciosa;2022;46
Caleta del Sebo, La Graciosa;2023;46
Caleta del Sebo, La Graciosa;2024;39
Caleta del Sebo, La Graciosa;2025;37
Calpe;2006;29
Calpe;2007;25
Calpe;2008;25
Calpe;2009;22
Calpe;2010;19
Calpe;2011;21
Calpe;2012;21
Calpe;2013;19
Calpe;2014;21
Calpe;2015;20
Calpe;2016;19
Calpe;2017;19
Calpe;2018;19
Calpe;2019;19
Calpe;2020;18
Calpe;2021;18
Calpe;2022;18
Calpe;2023;18
Calpe;2024;18
Calpe;2025;18
Camariñas;2006;108
Camariñas;2007;105
Camariñas;2008;79
Camariñas;2009;80
Camariñas;2010;81
Camariñas;2011;77
Camariñas;2012;77
Camariñas;2013;78
Camariñas;2014;76
Camariñas;2015;74
Camariñas;2016;75
Camariñas;2017;73
Camariñas;2018;74
Camariñas;2019;72
Camariñas;2020;75
Camariñas;2021;77
Camariñas;2022;79
